"b","unit","day","dentadult","dentinf"
7,"u3",52,14,0
7,"u4",7,1,0
7,"u4",12,3,0
7,"u4",17,12,0
7,"u4",22,12,0
7,"u4",27,4,0
7,"u4",32,7,0
7,"u4",37,6,0
7,"u4",42,4,2
7,"u4",47,10,2
7,"u4",52,6,0
7,"u5",7,3,1
7,"u5",12,17,1
7,"u5",17,26,0
7,"u5",22,44,3
7,"u5",27,65,11
7,"u5",32,34,5
7,"u5",37,2,1
7,"u5",42,1,2
7,"u5",47,0,0
7,"u5",52,0,0
7,"u6",7,2,0
7,"u6",12,7,0
7,"u6",17,8,1
7,"u6",22,14,0
7,"u6",27,30,0
7,"u6",32,34,7
7,"u6",37,32,0
7,"u6",42,4,2
7,"u6",47,8,3
7,"u6",52,0,0
7,"u7",7,2,0
7,"u7",12,6,0
7,"u7",17,18,0
7,"u7",22,29,1
7,"u7",27,42,0
7,"u7",32,8,2
7,"u7",37,6,1
7,"u7",42,4,0
7,"u7",47,2,0
7,"u7",52,1,1
7,"u8",7,2,0
7,"u8",12,5,0
7,"u8",17,14,3
7,"u8",22,7,0
7,"u8",27,16,0
7,"u8",32,11,1
7,"u8",37,21,2
7,"u8",42,9,2
7,"u8",47,8,1
7,"u8",52,5,1
7,"u9",7,3,0
7,"u9",12,4,0
7,"u9",17,10,1
7,"u9",22,24,1
7,"u9",27,25,0
7,"u9",32,20,1
7,"u9",37,15,1
7,"u9",42,4,1
7,"u9",47,5,1
7,"u9",52,9,1
8,"u1",7,2,1
8,"u1",12,8,0
8,"u1",17,7,0
8,"u1",22,22,0
8,"u1",27,12,0
8,"u1",32,26,1
8,"u1",37,45,2
8,"u1",42,23,4
8,"u1",47,9,4
8,"u1",52,10,1
8,"u2",7,0,1
8,"u2",12,2,0
8,"u2",17,20,0
8,"u2",22,23,0
8,"u2",27,7,0
8,"u2",32,4,0
8,"u2",37,8,3
8,"u2",42,3,2
8,"u2",47,3,0
8,"u2",52,0,1
8,"u3",7,0,0
8,"u3",12,4,0
8,"u3",17,26,0
8,"u3",22,42,0
8,"u3",27,28,7
8,"u3",32,41,3
8,"u3",37,30,5
8,"u3",42,65,8
8,"u3",47,29,2
8,"u3",52,18,26
8,"u4",7,3,0
8,"u4",12,7,1
8,"u4",17,23,1
8,"u4",22,19,3
8,"u4",27,27,0
8,"u4",32,39,3
8,"u4",37,11,2
8,"u4",42,3,3
8,"u4",47,1,0
8,"u4",52,0,0
8,"u5",7,5,0
8,"u5",12,16,0
8,"u5",17,29,0
8,"u5",22,30,2
8,"u5",27,18,2
8,"u5",32,8,4
8,"u5",37,5,2
8,"u5",42,2,0
8,"u5",47,2,0
8,"u5",52,5,0
8,"u6",7,6,0
8,"u6",12,24,0
8,"u6",17,36,5
8,"u6",22,26,1
8,"u6",27,18,2
8,"u6",32,7,3
8,"u6",37,7,3
8,"u6",42,1,0
8,"u6",47,0,0
8,"u6",52,0,0
8,"u7",7,3,0
8,"u7",12,3,0
8,"u7",17,6,0
8,"u7",22,13,2
8,"u7",27,8,0
8,"u7",32,3,1
8,"u7",37,8,0
8,"u7",42,7,1
8,"u7",47,1,0
8,"u7",52,4,1
8,"u8",7,1,0
8,"u8",12,1,0
8,"u8",17,3,0
8,"u8",22,7,0
8,"u8",27,18,1
8,"u8",32,20,2
8,"u8",37,12,2
8,"u8",42,12,1
8,"u8",47,7,0
8,"u8",52,2,0
8,"u9",7,3,0
8,"u9",12,8,2
8,"u9",17,6,1
8,"u9",22,6,1
8,"u9",27,24,1
8,"u9",32,31,1
8,"u9",37,7,0
8,"u9",42,5,0
8,"u9",47,5,3
8,"u9",52,1,1
9,"u1",7,1,0
9,"u1",12,2,0
9,"u1",17,6,0
9,"u1",22,14,0
9,"u1",27,49,4
9,"u1",32,21,1
9,"u1",37,9,1
9,"u1",42,1,2
9,"u1",47,1,1
9,"u1",52,1,3
9,"u2",7,1,0
9,"u2",12,9,0
9,"u2",17,22,3
9,"u2",22,12,1
9,"u2",27,13,1
9,"u2",32,26,4
9,"u2",37,26,0
9,"u2",42,25,14
9,"u2",47,34,0
9,"u2",52,6,5
9,"u3",7,2,0
9,"u3",12,9,0
9,"u3",17,21,1
9,"u3",22,19,5
9,"u3",27,11,2
9,"u3",32,15,1
9,"u3",37,22,3
9,"u3",42,4,0
9,"u3",47,1,1
9,"u3",52,0,0
9,"u4",7,5,0
9,"u4",12,12,0
9,"u4",17,15,0
9,"u4",22,27,0
9,"u4",27,33,3
9,"u4",32,8,0
9,"u4",37,8,2
9,"u4",42,4,3
9,"u4",47,5,1
9,"u4",52,3,0
9,"u5",7,10,0
9,"u5",12,16,1
9,"u5",17,43,2
9,"u5",22,32,3
9,"u5",27,19,0
9,"u5",32,9,3
9,"u5",37,6,2
9,"u5",42,2,0
9,"u5",47,4,0
9,"u5",52,4,0
9,"u6",7,5,1
9,"u6",12,19,2
9,"u6",17,25,0
9,"u6",22,27,5
9,"u6",27,24,12
9,"u6",32,10,1
9,"u6",37,12,7
9,"u6",42,35,6
9,"u6",47,56,2
9,"u6",52,105,5
9,"u7",7,8,0
9,"u7",12,13,0
9,"u7",17,14,1
9,"u7",22,3,0
9,"u7",27,3,1
9,"u7",32,1,0
9,"u7",37,7,0
9,"u7",42,5,0
9,"u7",47,3,0
9,"u7",52,3,0
9,"u8",7,4,0
9,"u8",12,4,0
9,"u8",17,12,0
9,"u8",22,4,1
9,"u8",27,16,0
9,"u8",32,124,10
9,"u8",37,87,2
9,"u8",42,45,0
9,"u8",47,52,22
9,"u8",52,9,0
9,"u9",7,0,0
9,"u9",12,1,0
9,"u9",17,6,0
9,"u9",22,21,1
9,"u9",27,14,0
9,"u9",32,7,0
9,"u9",37,11,7
9,"u9",42,13,0
9,"u9",47,10,0
9,"u9",52,20,5
10,"u1",7,6,0
10,"u1",12,2,0
10,"u1",17,21,0
10,"u1",22,40,1
10,"u1",27,21,1
10,"u1",32,6,0
10,"u1",37,1,0
10,"u1",42,0,0
10,"u1",47,0,0
10,"u1",52,0,0
10,"u2",7,4,0
10,"u2",12,11,0
10,"u2",17,6,0
10,"u2",22,8,0
10,"u2",27,8,1
10,"u2",32,8,1
10,"u2",37,7,0
10,"u2",42,8,0
10,"u2",47,9,2
10,"u2",52,1,1
10,"u3",7,2,0
10,"u3",12,9,0
10,"u3",17,12,0
10,"u3",22,34,1
10,"u3",27,56,15
10,"u3",32,61,12
10,"u3",37,73,22
10,"u3",42,138,0
10,"u3",47,60,2
10,"u3",52,16,7
10,"u4",7,3,0
10,"u4",12,9,0
10,"u4",17,6,1
10,"u4",22,14,5
10,"u4",27,11,0
10,"u4",32,6,1
10,"u4",37,6,1
10,"u4",42,7,0
10,"u4",47,7,2
10,"u4",52,2,0
10,"u5",7,2,0
10,"u5",12,5,0
10,"u5",17,5,1
10,"u5",22,6,0
10,"u5",27,25,0
10,"u5",32,21,1
10,"u5",37,12,0
10,"u5",42,10,5
10,"u5",47,5,6
10,"u5",52,7,6
10,"u6",7,7,0
10,"u6",12,25,0
10,"u6",17,8,1
10,"u6",22,7,1
10,"u6",27,15,0
10,"u6",32,27,3
10,"u6",37,13,1
10,"u6",42,10,0
10,"u6",47,6,0
10,"u6",52,13,0
10,"u7",7,9,0
10,"u7",12,12,0
10,"u7",17,14,1
10,"u7",22,26,0
10,"u7",27,17,2
10,"u7",32,9,0
10,"u7",37,4,5
10,"u7",42,1,1
10,"u7",47,0,0
10,"u7",52,2,1
10,"u8",7,7,0
10,"u8",12,77,0
10,"u8",17,47,6
10,"u8",22,9,3
10,"u8",27,9,0
10,"u8",32,5,1
10,"u8",37,0,0
10,"u8",42,1,0
10,"u8",47,1,0
10,"u8",52,2,0
10,"u9",7,2,0
10,"u9",12,1,0
10,"u9",17,15,1
10,"u9",22,15,1
10,"u9",27,13,2
10,"u9",32,25,1
10,"u9",37,16,0
10,"u9",42,15,7
10,"u9",47,17,3
10,"u9",52,3,2
11,"u1",7,0,0
11,"u1",12,7,0
11,"u1",17,15,1
11,"u1",22,19,0
