"b","unit","day","dentadult","dentinf"
8,"u3",27,72,3
8,"u3",32,129,0
8,"u3",37,163,7
8,"u3",42,123,1
8,"u3",47,243,23
8,"u3",52,192,0
8,"u4",7,6,0
8,"u4",12,12,0
8,"u4",17,34,0
8,"u4",22,91,0
8,"u4",27,161,1
8,"u4",32,180,8
8,"u4",37,59,63
8,"u4",42,25,143
8,"u4",47,7,40
8,"u4",52,1,3
8,"u5",7,12,0
8,"u5",12,28,0
8,"u5",17,28,1
8,"u5",22,52,0
8,"u5",27,82,8
8,"u5",32,30,2
8,"u5",37,19,0
8,"u5",42,6,4
8,"u5",47,2,1
8,"u5",52,3,2
8,"u6",7,10,0
8,"u6",12,10,0
8,"u6",17,29,0
8,"u6",22,19,0
8,"u6",27,69,0
8,"u6",32,86,9
8,"u6",37,50,14
8,"u6",42,37,13
8,"u6",47,58,6
8,"u6",52,43,1
8,"u7",7,5,0
8,"u7",12,14,1
8,"u7",17,57,0
8,"u7",22,190,0
8,"u7",27,180,10
8,"u7",32,296,8
8,"u7",37,47,41
8,"u7",42,19,46
8,"u7",47,11,2
8,"u7",52,15,7
8,"u8",7,3,0
8,"u8",12,13,0
8,"u8",17,63,1
8,"u8",22,96,7
8,"u8",27,59,4
8,"u8",32,73,61
8,"u8",37,16,24
8,"u8",42,1,48
8,"u8",47,0,0
8,"u8",52,3,0
9,"u1",7,2,0
9,"u1",12,23,0
9,"u1",17,49,0
9,"u1",22,114,7
9,"u1",27,74,6
9,"u1",32,21,3
9,"u1",37,8,6
9,"u1",42,4,5
9,"u1",47,8,0
9,"u1",52,5,1
9,"u2",7,1,0
9,"u2",12,27,0
9,"u2",17,117,0
9,"u2",22,130,0
9,"u2",27,263,0
9,"u2",32,211,86
9,"u2",37,72,24
9,"u2",42,69,9
9,"u2",47,55,66
9,"u2",52,13,5
9,"u3",7,6,0
9,"u3",12,17,0
9,"u3",17,33,0
9,"u3",22,71,0
9,"u3",27,82,2
9,"u3",32,195,19
9,"u3",37,126,17
9,"u3",42,31,19
9,"u3",47,11,0
9,"u3",52,11,3
9,"u4",7,5,0
9,"u4",12,11,0
9,"u4",17,18,0
9,"u4",22,53,2
9,"u4",27,85,0
9,"u4",32,99,3
9,"u4",37,55,10
9,"u4",42,24,6
9,"u4",47,16,29
9,"u4",52,31,15
9,"u5",7,5,0
9,"u5",12,7,0
9,"u5",17,28,0
9,"u5",22,39,0
9,"u5",27,80,0
9,"u5",32,93,1
9,"u5",37,174,6
9,"u5",42,137,6
9,"u5",47,152,5
9,"u5",52,32,22
9,"u6",7,9,0
9,"u6",12,26,0
9,"u6",17,75,0
9,"u6",22,219,1
9,"u6",27,192,9
9,"u6",32,133,50
9,"u6",37,111,12
9,"u6",42,99,14
9,"u6",47,42,5
9,"u6",52,9,1
9,"u7",7,1,0
9,"u7",12,12,0
9,"u7",17,26,0
9,"u7",22,62,1
9,"u7",27,160,0
9,"u7",32,171,2
9,"u7",37,78,56
9,"u7",42,11,37
9,"u7",47,1,1
9,"u7",52,0,0
9,"u8",7,3,1
9,"u8",12,20,0
9,"u8",17,60,0
9,"u8",22,114,2
9,"u8",27,117,2
9,"u8",32,163,16
9,"u8",37,71,32
