b,unit,day,dentadult,dentinf,lumadult,luminf
5,u4,52.0,17.0,0.0,2.0,0.0
5,u5,7.0,4.0,0.0,1.0,0.0
5,u5,12.0,2.0,0.0,2.0,0.0
5,u5,17.0,29.0,2.0,14.0,0.0
5,u5,22.0,31.0,3.0,19.0,0.0
5,u5,27.0,19.0,0.0,32.0,8.0
5,u5,32.0,22.0,7.0,23.0,17.0
5,u5,37.0,11.0,0.0,2.0,0.0
5,u5,42.0,9.0,0.0,1.0,2.0
5,u5,47.0,3.0,0.0,1.0,0.0
5,u5,52.0,0.0,1.0,0.0,0.0
5,u6,7.0,5.0,1.0,0.0,0.0
5,u6,12.0,24.0,1.0,7.0,0.0
5,u6,17.0,11.0,0.0,15.0,0.0
5,u6,22.0,155.0,10.0,36.0,2.0
5,u6,27.0,47.0,2.0,19.0,11.0
5,u6,32.0,23.0,19.0,8.0,12.0
5,u6,37.0,25.0,23.0,3.0,0.0
5,u6,42.0,55.0,5.0,5.0,2.0
5,u6,47.0,28.0,1.0,0.0,0.0
5,u6,52.0,4.0,14.0,0.0,0.0
5,u7,7.0,6.0,0.0,0.0,0.0
5,u7,12.0,4.0,0.0,6.0,0.0
5,u7,17.0,54.0,0.0,15.0,0.0
5,u7,22.0,77.0,4.0,44.0,3.0
5,u7,27.0,74.0,24.0,27.0,0.0
5,u7,32.0,51.0,12.0,14.0,1.0
5,u7,37.0,9.0,17.0,8.0,12.0
5,u7,42.0,9.0,7.0,2.0,2.0
5,u7,47.0,3.0,0.0,3.0,0.0
5,u7,52.0,7.0,1.0,1.0,0.0
5,u8,7.0,4.0,0.0,0.0,0.0
5,u8,12.0,22.0,0.0,0.0,0.0
5,u8,17.0,8.0,3.0,7.0,4.0
5,u8,22.0,35.0,0.0,9.0,4.0
5,u8,27.0,16.0,3.0,17.0,1.0
5,u8,32.0,23.0,1.0,37.0,6.0
5,u8,37.0,39.0,7.0,49.0,4.0
5,u8,42.0,7.0,26.0,9.0,2.0
5,u8,47.0,8.0,2.0,3.0,7.0
5,u8,52.0,4.0,0.0,0.0,0.0
6,u1,7.0,10.0,0.0,0.0,0.0
6,u1,12.0,6.0,0.0,3.0,0.0
6,u1,17.0,5.0,0.0,4.0,0.0
6,u1,22.0,27.0,0.0,11.0,1.0
6,u1,27.0,36.0,5.0,18.0,11.0
6,u1,32.0,24.0,6.0,9.0,13.0
6,u1,37.0,7.0,8.0,17.0,2.0
6,u1,42.0,3.0,12.0,6.0,0.0
6,u1,47.0,2.0,0.0,1.0,8.0
6,u1,52.0,2.0,0.0,3.0,2.0
6,u2,7.0,2.0,0.0,2.0,0.0
6,u2,12.0,13.0,0.0,2.0,1.0
6,u2,17.0,9.0,0.0,5.0,5.0
6,u2,22.0,36.0,4.0,21.0,8.0
6,u2,27.0,79.0,24.0,30.0,0.0
6,u2,32.0,9.0,16.0,13.0,7.0
6,u2,37.0,7.0,12.0,10.0,0.0
6,u2,42.0,4.0,1.0,4.0,1.0
6,u2,47.0,1.0,2.0,1.0,1.0
6,u2,52.0,0.0,0.0,0.0,0.0
6,u3,7.0,4.0,0.0,2.0,0.0
6,u3,12.0,8.0,1.0,4.0,0.0
6,u3,17.0,49.0,2.0,24.0,0.0
6,u3,22.0,35.0,4.0,18.0,0.0
6,u3,27.0,27.0,13.0,20.0,0.0
6,u3,32.0,32.0,11.0,2.0,4.0
6,u3,37.0,5.0,0.0,2.0,1.0
6,u3,42.0,5.0,16.0,1.0,2.0
6,u3,47.0,4.0,4.0,0.0,0.0
6,u3,52.0,0.0,0.0,0.0,0.0
6,u4,7.0,8.0,0.0,1.0,0.0
6,u4,12.0,9.0,0.0,12.0,0.0
6,u4,17.0,29.0,0.0,0.0,0.0
6,u4,22.0,43.0,2.0,6.0,0.0
6,u4,27.0,189.0,9.0,31.0,3.0
6,u4,32.0,22.0,9.0,13.0,4.0
6,u4,37.0,43.0,17.0,9.0,1.0
6,u4,42.0,7.0,2.0,15.0,0.0
6,u4,47.0,4.0,2.0,3.0,10.0
6,u4,52.0,1.0,1.0,3.0,2.0
6,u5,7.0,2.0,0.0,1.0,0.0
6,u5,12.0,22.0,0.0,4.0,1.0
6,u5,17.0,17.0,0.0,12.0,0.0
6,u5,22.0,47.0,0.0,42.0,0.0
6,u5,27.0,22.0,2.0,45.0,17.0
6,u5,32.0,32.0,12.0,24.0,48.0
6,u5,37.0,7.0,1.0,12.0,11.0
6,u5,42.0,2.0,0.0,5.0,37.0
6,u5,47.0,1.0,1.0,4.0,4.0
6,u5,52.0,4.0,0.0,10.0,6.0
6,u6,7.0,13.0,0.0,3.0,0.0
6,u6,12.0,10.0,0.0,7.0,0.0
6,u6,17.0,35.0,0.0,12.0,0.0
6,u6,22.0,87.0,23.0,24.0,12.0
6,u6,27.0,58.0,14.0,18.0,8.0
6,u6,32.0,90.0,47.0,18.0,14.0
6,u6,37.0,19.0,10.0,15.0,5.0
6,u6,42.0,37.0,3.0,3.0,1.0
6,u6,47.0,33.0,1.0,0.0,5.0
6,u6,52.0,4.0,1.0,1.0,0.0
6,u7,7.0,1.0,0.0,1.0,0.0
6,u7,12.0,11.0,0.0,12.0,0.0
6,u7,17.0,47.0,0.0,43.0,1.0
6,u7,22.0,55.0,16.0,79.0,19.0
6,u7,27.0,52.0,4.0,38.0,70.0
6,u7,32.0,10.0,11.0,19.0,14.0
6,u7,37.0,4.0,4.0,2.0,7.0
6,u7,42.0,6.0,0.0,4.0,4.0
6,u7,47.0,0.0,0.0,2.0,2.0
6,u7,52.0,0.0,0.0,4.0,3.0
6,u8,7.0,1.0,0.0,1.0,0.0
6,u8,12.0,15.0,0.0,9.0,0.0
6,u8,17.0,25.0,0.0,12.0,0.0
6,u8,22.0,88.0,0.0,17.0,2.0
6,u8,27.0,115.0,4.0,47.0,1.0
6,u8,32.0,67.0,0.0,22.0,8.0
6,u8,37.0,64.0,89.0,5.0,14.0
6,u8,42.0,13.0,22.0,9.0,4.0
6,u8,47.0,14.0,10.0,4.0,1.0
6,u8,52.0,7.0,1.0,0.0,1.0
7,u1,7.0,8.0,0.0,5.0,0.0
7,u1,12.0,20.0,0.0,10.0,0.0
7,u1,17.0,134.0,0.0,6.0,0.0
7,u1,22.0,156.0,0.0,17.0,0.0
7,u1,27.0,82.0,4.0,32.0,6.0
7,u1,32.0,16.0,50.0,5.0,7.0
7,u1,37.0,5.0,17.0,3.0,4.0
7,u1,42.0,3.0,8.0,1.0,3.0
7,u1,47.0,0.0,1.0,0.0,0.0
7,u1,52.0,0.0,1.0,1.0,1.0
7,u2,7.0,4.0,0.0,1.0,0.0
7,u2,12.0,16.0,0.0,2.0,0.0
7,u2,17.0,27.0,0.0,5.0,0.0
7,u2,22.0,12.0,0.0,5.0,0.0
7,u2,27.0,4.0,1.0,12.0,2.0
7,u2,32.0,24.0,14.0,8.0,5.0
7,u2,37.0,38.0,7.0,10.0,2.0
7,u2,42.0,2.0,5.0,4.0,3.0
7,u2,47.0,3.0,0.0,7.0,6.0
7,u2,52.0,0.0,0.0,0.0,1.0
7,u3,7.0,2.0,0.0,1.0,0.0
7,u3,12.0,16.0,1.0,1.0,0.0
7,u3,17.0,40.0,0.0,2.0,0.0
7,u3,22.0,53.0,0.0,2.0,0.0
7,u3,27.0,63.0,1.0,11.0,3.0
7,u3,32.0,29.0,33.0,14.0,4.0
7,u3,37.0,18.0,1.0,4.0,13.0
7,u3,42.0,35.0,22.0,18.0,7.0
7,u3,47.0,30.0,0.0,10.0,14.0
7,u3,52.0,9.0,1.0,10.0,6.0
7,u4,7.0,4.0,0.0,3.0,0.0
7,u4,12.0,17.0,0.0,0.0,0.0
7,u4,17.0,41.0,0.0,7.0,0.0
7,u4,22.0,44.0,0.0,8.0,3.0
7,u4,27.0,39.0,1.0,26.0,0.0
7,u4,32.0,39.0,2.0,27.0,0.0
7,u4,37.0,41.0,34.0,18.0,12.0
7,u4,42.0,7.0,3.0,4.0,2.0
7,u4,47.0,1.0,3.0,0.0,3.0
7,u4,52.0,1.0,2.0,1.0,1.0
7,u5,7.0,0.0,0.0,1.0,0.0
7,u5,12.0,10.0,0.0,2.0,0.0
7,u5,17.0,114.0,2.0,15.0,1.0
7,u5,22.0,67.0,21.0,33.0,4.0
7,u5,27.0,57.0,77.0,9.0,7.0
7,u5,32.0,58.0,24.0,5.0,5.0
7,u5,37.0,31.0,5.0,1.0,3.0
7,u5,42.0,29.0,17.0,1.0,0.0
7,u5,47.0,16.0,7.0,1.0,0.0
7,u5,52.0,6.0,1.0,0.0,0.0
7,u6,7.0,2.0,0.0,0.0,0.0
7,u6,12.0,10.0,0.0,13.0,0.0
7,u6,17.0,10.0,0.0,23.0,1.0
7,u6,22.0,117.0,7.0,37.0,9.0
7,u6,27.0,101.0,5.0,23.0,9.0
7,u6,32.0,10.0,0.0,9.0,28.0
7,u6,37.0,7.0,1.0,0.0,2.0
7,u6,42.0,7.0,3.0,1.0,0.0
7,u6,47.0,0.0,2.0,0.0,0.0
7,u6,52.0,2.0,0.0,0.0,0.0
7,u7,7.0,2.0,0.0,0.0,0.0
