"b","unit","day","dentadult","dentinf","lumadult","luminf"
5,"u2",47,14,0,4,0
5,"u2",52,22,25,5,0
5,"u3",7,4,0,3,0
5,"u3",12,5,0,4,0
5,"u3",17,18,0,19,0
5,"u3",22,52,1,21,0
5,"u3",27,171,3,12,1
5,"u3",32,13,47,11,12
5,"u3",37,17,5,18,7
5,"u3",42,3,31,4,0
5,"u3",47,16,20,12,2
5,"u3",52,7,1,2,1
5,"u4",7,4,0,3,0
5,"u4",12,12,0,5,0
5,"u4",17,78,1,24,0
5,"u4",22,52,38,30,6
5,"u4",27,51,91,13,60
5,"u4",32,14,5,11,5
5,"u4",37,2,14,9,5
5,"u4",42,2,0,0,0
5,"u4",47,1,0,2,1
5,"u4",52,1,1,0,4
5,"u5",7,11,1,1,0
5,"u5",12,18,0,6,0
5,"u5",17,46,0,27,0
5,"u5",22,327,0,64,2
5,"u5",27,37,10,10,19
5,"u5",32,24,14,12,5
5,"u5",37,10,11,3,0
5,"u5",42,4,0,2,2
5,"u5",47,2,0,2,0
5,"u5",52,2,2,2,1
5,"u6",7,4,0,0,0
5,"u6",12,8,0,6,0
5,"u6",17,12,0,20,0
5,"u6",22,24,0,18,0
5,"u6",27,77,0,71,1
5,"u6",32,97,3,53,73
5,"u6",37,65,13,25,38
5,"u6",42,45,0,2,10
5,"u6",47,33,6,1,1
5,"u6",52,10,0,0,0
5,"u7",7,5,0,3,0
5,"u7",12,17,0,16,0
5,"u7",17,8,1,4,2
5,"u7",22,11,0,35,1
5,"u7",27,37,2,25,18
5,"u7",32,17,4,18,11
5,"u7",37,9,1,7,16
5,"u7",42,8,3,4,18
5,"u7",47,2,0,4,3
5,"u7",52,0,0,13,11
5,"u8",7,12,0,2,0
5,"u8",12,11,0,3,0
5,"u8",17,11,0,10,0
5,"u8",22,70,0,26,0
5,"u8",27,50,5,36,1
5,"u8",32,10,6,24,15
5,"u8",37,14,6,14,3
5,"u8",42,3,4,3,10
5,"u8",47,0,2,2,0
5,"u8",52,5,1,4,1
6,"u1",7,3,0,5,0
6,"u1",12,8,0,4,0
6,"u1",17,24,0,8,0
6,"u1",22,95,0,26,1
6,"u1",27,39,3,58,0
6,"u1",32,53,24,15,20
6,"u1",37,21,74,18,17
6,"u1",42,14,5,17,5
6,"u1",47,14,0,15,18
6,"u1",52,10,3,1,9
6,"u2",7,14,0,0,0
6,"u2",12,6,0,1,0
6,"u2",17,48,0,25,0
6,"u2",22,41,0,15,0
6,"u2",27,43,12,32,2
6,"u2",32,30,25,30,9
6,"u2",37,8,11,9,13
6,"u2",42,12,6,5,0
6,"u2",47,12,3,6,1
6,"u2",52,7,0,14,1
6,"u3",7,6,0,1,0
6,"u3",12,4,0,4,0
6,"u3",17,34,1,3,1
6,"u3",22,18,0,14,1
6,"u3",27,38,1,16,1
6,"u3",32,70,2,15,5
6,"u3",37,30,22,5,1
6,"u3",42,13,10,6,5
6,"u3",47,4,0,2,7
6,"u3",52,7,1,5,1
6,"u4",7,3,0,2,0
6,"u4",12,9,0,12,0
6,"u4",17,32,0,64,0
6,"u4",22,71,3,158,8
6,"u4",27,35,3,76,51
6,"u4",32,7,8,14,43
6,"u4",37,5,2,4,42
6,"u4",42,4,0,0,14
6,"u4",47,3,0,2,4
6,"u4",52,1,0,0,1
6,"u5",7,8,0,2,0
6,"u5",12,4,0,4,0
6,"u5",17,19,1,22,1
6,"u5",22,77,0,16,0
6,"u5",27,57,24,40,16
6,"u5",32,45,15,24,33
6,"u5",37,14,18,13,13
6,"u5",42,4,26,0,9
6,"u5",47,4,0,1,1
6,"u5",52,0,0,1,0
6,"u6",7,4,0,4,0
6,"u6",12,21,0,6,0
6,"u6",17,69,0,23,1
6,"u6",22,70,8,5,4
6,"u6",27,64,5,36,10
6,"u6",32,20,8,18,11
6,"u6",37,4,1,12,18
6,"u6",42,0,2,2,2
6,"u6",47,0,0,4,0
6,"u6",52,0,0,4,3
6,"u7",7,1,0,0,0
6,"u7",12,18,0,9,0
6,"u7",17,35,0,4,0
6,"u7",22,24,1,10,0
6,"u7",27,98,1,73,6
6,"u7",32,26,3,19,15
