"b","unit","day","lumadult"
8,"u8",52,52
8,"u9",7,5
8,"u9",12,6
8,"u9",17,6
8,"u9",22,18
8,"u9",27,38
8,"u9",32,71
8,"u9",37,65
8,"u9",42,62
8,"u9",47,42
8,"u9",52,62
8,"u10",7,2
8,"u10",12,4
8,"u10",17,4
8,"u10",22,19
8,"u10",27,5
8,"u10",32,17
8,"u10",37,107
8,"u10",42,62
8,"u10",47,8
8,"u10",52,66
9,"u1",7,0
9,"u1",12,3
9,"u1",17,11
9,"u1",22,102
9,"u1",27,43
9,"u1",32,120
9,"u1",37,16
9,"u1",42,74
9,"u1",47,19
9,"u1",52,6
9,"u2",7,1
9,"u2",12,1
9,"u2",17,1
9,"u2",22,10
9,"u2",27,7
9,"u2",32,27
9,"u2",37,108
9,"u2",42,84
9,"u2",47,120
9,"u2",52,30
9,"u3",7,0
9,"u3",12,6
9,"u3",17,22
9,"u3",22,22
9,"u3",27,69
9,"u3",32,53
9,"u3",37,21
9,"u3",42,12
9,"u3",47,1
9,"u3",52,1
9,"u4",7,3
9,"u4",12,58
9,"u4",17,55
9,"u4",22,55
9,"u4",27,56
9,"u4",32,53
9,"u4",37,26
9,"u4",42,16
9,"u4",47,17
9,"u4",52,9
9,"u5",7,5
9,"u5",12,9
9,"u5",17,7
9,"u5",22,168
9,"u5",27,57
9,"u5",32,111
9,"u5",37,23
9,"u5",42,27
9,"u5",47,14
9,"u5",52,16
9,"u6",7,7
9,"u6",12,21
9,"u6",17,42
9,"u6",22,65
9,"u6",27,59
9,"u6",32,15
9,"u6",37,19
9,"u6",42,36
9,"u6",47,237
9,"u6",52,68
9,"u7",7,19
9,"u7",12,101
9,"u7",17,185
9,"u7",22,184
9,"u7",27,24
9,"u7",32,8
9,"u7",37,70
9,"u7",42,12
9,"u7",47,9
9,"u7",52,4
9,"u8",7,8
9,"u8",12,18
9,"u8",17,4
9,"u8",22,15
9,"u8",27,100
9,"u8",32,38
9,"u8",37,5
9,"u8",42,24
9,"u8",47,16
9,"u8",52,20
9,"u9",7,1
9,"u9",12,8
9,"u9",17,18
9,"u9",22,12
9,"u9",27,17
9,"u9",32,3
9,"u9",37,9
9,"u9",42,8
9,"u9",47,2
9,"u9",52,33
9,"u10",7,0
9,"u10",12,2
9,"u10",17,4
9,"u10",22,0
9,"u10",27,1
9,"u10",32,12
9,"u10",37,12
9,"u10",42,12
9,"u10",47,17
9,"u10",52,22
10,"u1",7,3
10,"u1",12,10
10,"u1",17,24
10,"u1",22,24
10,"u1",27,5
10,"u1",32,45
10,"u1",37,5
10,"u1",42,5
10,"u1",47,13
10,"u1",52,13
10,"u2",7,2
10,"u2",12,4
10,"u2",17,14
10,"u2",22,6
10,"u2",27,26
10,"u2",32,43
10,"u2",37,48
10,"u2",42,55
10,"u2",47,28
10,"u2",52,12
10,"u3",7,1
10,"u3",12,0
10,"u3",17,1
10,"u3",22,8
10,"u3",27,27
10,"u3",32,33
10,"u3",37,18
10,"u3",42,168
10,"u3",47,5
10,"u3",52,43
10,"u4",7,1
10,"u4",12,2
10,"u4",17,6
10,"u4",22,6
10,"u4",27,127
10,"u4",32,102
10,"u4",37,106
10,"u4",42,12
10,"u4",47,8
10,"u4",52,33
10,"u5",7,1
10,"u5",12,11
10,"u5",17,10
10,"u5",22,12
10,"u5",27,22
10,"u5",32,34
10,"u5",37,69
10,"u5",42,62
10,"u5",47,37
10,"u5",52,24
10,"u6",7,6
10,"u6",12,63
10,"u6",17,40
10,"u6",22,22
10,"u6",27,25
10,"u6",32,60
10,"u6",37,16
10,"u6",42,48
10,"u6",47,15
10,"u6",52,77
10,"u7",7,9
10,"u7",12,19
10,"u7",17,42
10,"u7",22,35
10,"u7",27,88
10,"u7",32,89
10,"u7",37,30
10,"u7",42,15
10,"u7",47,44
10,"u7",52,11
10,"u8",7,3
10,"u8",12,2
10,"u8",17,27
10,"u8",22,49
10,"u8",27,99
10,"u8",32,67
10,"u8",37,26
10,"u8",42,28
10,"u8",47,29
10,"u8",52,71
10,"u9",7,2
10,"u9",12,3
10,"u9",17,26
10,"u9",22,4
10,"u9",27,3
10,"u9",32,7
10,"u9",37,18
10,"u9",42,25
10,"u9",47,20
10,"u9",52,95
10,"u10",7,0
10,"u10",12,0
10,"u10",17,7
10,"u10",22,6
10,"u10",27,40
10,"u10",32,35
10,"u10",37,11
10,"u10",42,7
10,"u10",47,29
10,"u10",52,11
11,"u1",7,3
11,"u1",12,3
11,"u1",17,22
11,"u1",22,78
11,"u1",27,13
11,"u1",32,37
11,"u1",37,18
11,"u1",42,9
11,"u1",47,38
11,"u1",52,18
11,"u2",7,0
11,"u2",12,0
11,"u2",17,4
11,"u2",22,1
11,"u2",27,17
11,"u2",32,134
11,"u2",37,135
11,"u2",42,95
11,"u2",47,29
11,"u2",52,8
11,"u3",7,2
11,"u3",12,5
11,"u3",17,27
11,"u3",22,47
11,"u3",27,76
11,"u3",32,64
11,"u3",37,7
11,"u3",42,37
11,"u3",47,8
11,"u3",52,9
